100000;2;3.27
100000;4;0.87
100000;8;0.46
100000;16;0.24
200000;2;13.10
200000;4;3.49
200000;8;1.72
200000;16;0.87
300000;2;29.47
300000;4;7.63
300000;8;3.87
300000;16;1.94
400000;2;52.34
400000;4;13.60
400000;8;6.79
400000;16;3.41
500000;2;81.78
500000;4;21.20
500000;8;10.57
500000;16;5.28
600000;2;117.96
600000;4;30.53
600000;8;15.21
600000;16;7.62
700000;2;160.38
700000;4;41.57
700000;8;20.68
700000;16;10.34
800000;2;209.40
800000;4;54.23
800000;8;26.97
800000;16;13.50
900000;2;265.92
900000;4;68.71
900000;8;34.33
900000;16;17.21
1000000;2;327.92
1000000;4;84.88
1000000;8;42.44
1000000;16;21.26
